Gate pass time,Alt license number,Reason
01-01-2018 17:42:32,10245,Standard exit
01-01-2018 17:43:57,10067,Standard exit
01-01-2018 17:56:51,10286,Standard exit
01-01-2018 18:00:17,10114,Standard exit
01-01-2018 18:01:27,10053,Standard entrance
01-01-2018 18:02:10,10260,Standard entrance
01-01-2018 18:24:02,10193,Standard exit
01-01-2018 18:25:27,10139,Standard exit
01-01-2018 18:47:40,10081,Standard entrance
01-01-2018 19:04:40,10171,Standard exit
01-01-2018 19:10:40,10182,Standard exit
01-01-2018 19:11:22,10030,Standard entrance
01-01-2018 19:12:46,10066,Standard exit
01-01-2018 19:13:19,10050,Standard entrance
01-01-2018 19:13:36,10036,Standard exit
01-01-2018 19:23:30,10216,Standard exit
01-01-2018 19:42:16,10179,Standard exit
01-01-2018 19:43:34,10156,Standard exit
01-01-2018 19:46:15,10019,Standard exit
01-01-2018 19:47:27,10261,Standard exit
01-01-2018 19:50:44,10207,Standard entrance
01-01-2018 19:54:50,10056,Standard exit
01-01-2018 19:55:50,10184,Standard exit
01-01-2018 19:56:05,10264,Standard exit
01-01-2018 19:58:06,10229,Standard exit
01-01-2018 20:00:11,10219,Standard exit
01-01-2018 20:01:11,10002,Standard exit
01-01-2018 20:01:43,10258,Standard exit
01-01-2018 20:02:15,10003,Standard exit
01-01-2018 20:03:08,10260,Standard exit
01-01-2018 20:06:43,10127,Standard exit
01-01-2018 20:07:39,10091,Standard exit
01-01-2018 20:11:00,10207,Standard exit
01-01-2018 20:12:14,10278,Guard open
01-01-2018 20:13:25,10278,Guard open
01-01-2018 20:13:26,10278,Guard open
01-01-2018 20:25:00,10015,Standard exit
01-01-2018 20:30:21,10121,Standard exit
01-01-2018 20:31:05,10138,Standard exit
01-01-2018 20:35:21,10198,Standard exit
01-01-2018 20:36:25,10060,Standard exit
01-01-2018 20:40:43,10196,Standard exit
01-01-2018 20:49:31,10053,Standard exit
01-01-2018 20:49:45,10132,Doesnt exist in DB
01-01-2018 20:58:00,10203,Standard exit
01-01-2018 21:00:55,10232,Standard exit
01-01-2018 21:01:14,10026,Standard exit
01-01-2018 21:17:33,10100,Standard exit
01-01-2018 21:35:34,10201,Standard exit
01-01-2018 21:45:21,10081,Standard exit
01-01-2018 21:47:08,10180,Standard exit
01-01-2018 21:59:57,10050,Standard exit
01-01-2018 22:08:10,10113,Standard exit
01-01-2018 22:13:05,10148,Standard exit
01-01-2018 22:23:11,10282,Standard exit
01-01-2018 22:37:17,10214,Standard exit
01-01-2018 22:40:02,10214,Standard entrance
01-01-2018 22:43:44,10157,Standard exit
01-01-2018 22:49:30,10214,Standard exit
01-01-2018 23:10:02,10030,Standard exit
01-01-2018 23:18:03,10274,Standard exit
01-01-2018 23:34:07,10259,Standard exit
02-01-2018 01:00:46,10225,Parking lot cleaning
02-01-2018 01:00:46,10082,Parking lot cleaning
02-01-2018 06:44:36,10189,Standard entrance
02-01-2018 07:14:27,10170,Standard entrance
02-01-2018 07:16:04,10069,Standard entrance
02-01-2018 07:22:52,10196,Standard entrance
02-01-2018 07:26:55,10187,Standard entrance
02-01-2018 07:31:07,10030,Standard entrance
02-01-2018 07:32:51,10220,Standard entrance
02-01-2018 07:36:45,10121,Standard entrance
02-01-2018 07:39:30,10282,Standard entrance
02-01-2018 07:42:42,10075,Standard entrance
02-01-2018 07:44:33,10193,Standard entrance
02-01-2018 07:50:10,10066,Standard entrance
02-01-2018 07:50:48,10288,Standard entrance
02-01-2018 07:50:56,10152,Standard entrance
02-01-2018 07:57:48,10253,Standard entrance
02-01-2018 08:04:06,10058,Standard entrance
02-01-2018 08:05:14,10184,Standard entrance
02-01-2018 08:17:51,10201,Standard entrance
02-01-2018 08:24:56,10041,Standard entrance
02-01-2018 08:32:05,10250,Standard entrance
02-01-2018 08:32:47,10124,Standard entrance
02-01-2018 08:34:08,10181,Standard entrance
02-01-2018 08:36:24,10095,Standard entrance
02-01-2018 08:41:32,10171,Standard entrance
02-01-2018 08:47:41,10278,Guard open
02-01-2018 08:50:46,10278,Guard open
02-01-2018 08:50:47,10278,Guard open
02-01-2018 08:55:11,10129,Standard entrance
02-01-2018 09:01:36,10179,Standard entrance
02-01-2018 09:11:18,10258,Standard entrance
02-01-2018 09:16:21,10056,Standard entrance
02-01-2018 09:29:36,10204,Standard entrance
02-01-2018 09:32:51,10264,Standard entrance
02-01-2018 09:37:30,10003,Standard entrance
02-01-2018 09:41:06,10026,Standard entrance
02-01-2018 09:47:49,10232,Standard entrance
02-01-2018 09:55:48,10071,Standard entrance
02-01-2018 09:57:43,10205,Standard entrance
02-01-2018 10:22:47,10218,Standard entrance
02-01-2018 10:29:23,10019,Standard entrance
02-01-2018 10:41:16,10062,Standard entrance
02-01-2018 10:44:56,10141,Standard entrance
02-01-2018 10:49:25,10129,Standard exit
02-01-2018 10:56:46,10059,Standard entrance
02-01-2018 11:11:27,10120,Standard entrance
02-01-2018 11:13:09,10164,Unauthorized this day
02-01-2018 11:13:47,10170,Standard exit
02-01-2018 11:14:06,10164,Guard open
02-01-2018 11:14:07,10164,Guard open
02-01-2018 11:16:15,10199,Standard entrance
02-01-2018 11:42:54,10251,Standard entrance
02-01-2018 11:47:10,10089,Standard entrance
02-01-2018 11:49:16,10201,Standard exit
02-01-2018 11:50:44,10071,Standard exit
02-01-2018 12:00:10,10075,Standard exit
02-01-2018 12:05:17,10050,Standard entrance
02-01-2018 12:06:44,10122,Standard entrance
02-01-2018 12:09:57,10234,Standard entrance
02-01-2018 12:12:03,10056,Standard exit
02-01-2018 12:13:02,10163,Standard entrance
02-01-2018 12:21:08,10036,Standard entrance
02-01-2018 12:30:46,10216,Standard entrance
02-01-2018 12:39:39,10077,Standard entrance
02-01-2018 12:43:07,10210,Standard entrance
02-01-2018 12:53:02,10120,Standard exit
02-01-2018 12:53:34,10068,Standard entrance
02-01-2018 12:56:36,10219,Standard entrance
02-01-2018 12:59:15,10075,Standard entrance
02-01-2018 12:59:43,10095,Standard exit
02-01-2018 13:01:20,10062,Standard exit
02-01-2018 13:05:52,10090,Standard entrance
02-01-2018 13:13:02,10003,Standard exit
02-01-2018 13:14:13,10058,Standard exit
02-01-2018 13:14:27,10120,Standard entrance
02-01-2018 13:20:21,10059,Standard exit
02-01-2018 13:22:35,10041,Standard exit
02-01-2018 13:31:55,10250,Standard exit
02-01-2018 13:33:03,10003,Standard entrance
02-01-2018 13:34:31,10026,Standard exit
02-01-2018 13:37:21,10150,Standard entrance
02-01-2018 13:37:24,10179,Standard exit
02-01-2018 13:37:30,10253,Standard exit
02-01-2018 13:40:52,10003,Standard exit
02-01-2018 13:45:13,10084,Deviation in number of vehicles
02-01-2018 13:45:43,10122,Standard exit
02-01-2018 13:46:36,10122,Guard open
02-01-2018 13:46:48,10084,Guard open
02-01-2018 14:02:15,10084,Standard exit
02-01-2018 14:05:06,10121,Standard exit
02-01-2018 14:06:58,10182,Standard entrance
02-01-2018 14:08:45,10255,Standard entrance
02-01-2018 14:24:32,10288,Standard exit
02-01-2018 14:27:03,10110,Standard entrance
02-01-2018 14:31:14,10232,Standard exit
02-01-2018 14:33:39,10100,Standard entrance
02-01-2018 14:42:40,10259,Standard entrance
02-01-2018 14:53:51,10050,Standard exit
02-01-2018 14:56:49,10059,Standard entrance
02-01-2018 14:57:39,10199,Standard exit
02-01-2018 15:00:11,10135,Standard entrance
02-01-2018 15:08:05,10029,Standard entrance
02-01-2018 15:18:23,10234,Standard exit
02-01-2018 15:25:52,10078,Standard entrance
02-01-2018 15:46:17,10203,Standard entrance
02-01-2018 15:48:50,10066,Standard exit
02-01-2018 15:51:11,10196,Standard exit
02-01-2018 15:53:20,10056,Standard entrance
02-01-2018 15:55:29,10003,Standard entrance
02-01-2018 15:57:09,10124,Standard exit
02-01-2018 15:57:34,10274,Standard entrance
02-01-2018 15:58:00,10026,Standard entrance
02-01-2018 15:58:12,10121,Standard entrance
02-01-2018 16:13:50,10189,Standard exit
02-01-2018 16:16:54,10214,Standard entrance
02-01-2018 16:22:35,10210,Standard exit
02-01-2018 16:22:58,10184,Standard exit
02-01-2018 16:26:44,10150,Standard exit
02-01-2018 16:30:03,10264,Standard exit
02-01-2018 16:33:00,10147,Standard entrance
02-01-2018 16:36:51,10067,Standard entrance
02-01-2018 16:38:13,10075,Standard exit
02-01-2018 16:38:21,10019,Standard exit
02-01-2018 16:39:54,10230,Standard entrance
02-01-2018 16:49:59,10193,Standard exit
02-01-2018 16:50:09,10064,Standard entrance
02-01-2018 16:58:27,10219,Standard exit
02-01-2018 16:58:50,10234,Standard entrance
02-01-2018 16:59:42,10121,Standard exit
02-01-2018 17:00:01,10092,Standard entrance
02-01-2018 17:00:57,10251,Standard exit
02-01-2018 17:04:42,10077,Standard exit
02-01-2018 17:05:32,10282,Standard exit
02-01-2018 17:08:46,10205,Standard exit
02-01-2018 17:17:52,10171,Standard exit
02-01-2018 17:20:37,10187,Standard exit
02-01-2018 17:21:34,10181,Standard exit
02-01-2018 17:22:16,10185,Standard exit
02-01-2018 17:30:46,10113,Standard entrance
02-01-2018 17:38:12,10059,Standard exit
02-01-2018 17:41:20,10216,Standard exit
02-01-2018 17:55:08,10018,Standard entrance
02-01-2018 18:07:20,10220,Standard exit
02-01-2018 18:22:08,10109,Standard entrance
02-01-2018 18:25:46,10260,Standard entrance
02-01-2018 18:33:51,10218,Standard exit
02-01-2018 18:39:03,10204,Standard exit
02-01-2018 18:46:35,10026,Standard exit
02-01-2018 18:48:29,10152,Standard exit
02-01-2018 19:03:20,10110,Standard exit
02-01-2018 19:07:36,10092,Standard exit
02-01-2018 19:12:14,10278,Guard open
02-01-2018 19:14:02,10278,Guard open
02-01-2018 19:14:14,10003,Standard exit
02-01-2018 19:14:24,10030,Standard exit
02-01-2018 19:15:13,10182,Standard exit
02-01-2018 19:18:20,10135,Standard exit
02-01-2018 19:27:13,10234,Standard exit
02-01-2018 19:29:58,10036,Standard exit
02-01-2018 19:35:09,10260,Standard exit
02-01-2018 20:06:02,10029,Standard exit
02-01-2018 20:09:45,10230,Standard exit
02-01-2018 20:15:47,10078,Standard exit
02-01-2018 20:20:04,10064,Standard exit
02-01-2018 20:32:45,10068,Standard exit
02-01-2018 20:39:36,10258,Standard exit
02-01-2018 20:44:21,10203,Standard exit
02-01-2018 20:46:52,10067,Standard exit
02-01-2018 21:06:50,10100,Standard exit
02-01-2018 21:08:10,10109,Standard exit
02-01-2018 21:13:59,10089,Standard exit
02-01-2018 22:02:10,10018,Standard exit
02-01-2018 22:10:29,10164,Standard exit
02-01-2018 22:13:24,10163,Standard exit
02-01-2018 22:13:36,10090,Standard exit
02-01-2018 22:25:55,10147,Standard exit
02-01-2018 22:51:57,10056,Standard exit
02-01-2018 22:52:02,10214,Standard exit
02-01-2018 23:09:47,10113,Standard exit
02-01-2018 23:15:38,10274,Standard exit
02-01-2018 23:31:42,10259,Standard exit
03-01-2018 01:00:46,10255,Parking lot cleaning
03-01-2018 01:00:46,10120,Parking lot cleaning
03-01-2018 01:00:46,10141,Parking lot cleaning
03-01-2018 01:00:46,10069,Parking lot cleaning
03-01-2018 06:42:19,10189,Standard entrance
03-01-2018 07:12:57,10219,Standard entrance
03-01-2018 07:16:09,10196,Standard entrance
03-01-2018 07:20:10,10196,Guard open
03-01-2018 07:20:11,10196,Guard open
03-01-2018 07:20:12,10196,Guard open
03-01-2018 07:22:54,10036,Standard entrance
03-01-2018 07:29:45,10121,Standard entrance
03-01-2018 07:36:18,10210,Standard entrance
03-01-2018 07:44:25,10075,Standard entrance
03-01-2018 07:48:09,10106,Standard entrance
03-01-2018 07:50:21,10048,Standard entrance
03-01-2018 08:10:05,10100,Standard entrance
03-01-2018 08:11:53,10285,Standard entrance
03-01-2018 08:20:28,10181,Standard entrance
03-01-2018 08:31:20,10258,Standard entrance
03-01-2018 08:46:15,10124,Standard entrance
03-01-2018 08:46:25,10264,Standard entrance
03-01-2018 08:49:20,10071,Standard entrance
03-01-2018 08:50:09,10173,Standard entrance
03-01-2018 08:53:33,10286,Standard entrance
03-01-2018 08:55:00,10278,Guard open
03-01-2018 08:55:33,10278,Guard open
03-01-2018 08:55:42,10152,Standard entrance
03-01-2018 08:58:30,10224,Standard entrance
03-01-2018 09:01:35,10238,Standard entrance
03-01-2018 09:10:58,10171,Standard entrance
03-01-2018 09:19:27,10179,Standard entrance
03-01-2018 09:20:42,10139,Standard entrance
03-01-2018 09:26:31,10163,Standard entrance
03-01-2018 09:32:55,10240,Standard entrance
03-01-2018 09:41:08,10178,Standard entrance
03-01-2018 09:47:53,10141,Standard entrance
03-01-2018 09:51:13,10097,Standard entrance
03-01-2018 09:51:38,10251,Standard entrance
03-01-2018 09:52:21,10058,Standard entrance
03-01-2018 09:54:13,10019,Standard entrance
03-01-2018 09:59:38,10220,Standard entrance
03-01-2018 10:11:31,10003,Standard entrance
03-01-2018 10:14:11,10106,Standard exit
03-01-2018 10:22:07,10029,Standard entrance
03-01-2018 10:24:27,10026,Standard entrance
03-01-2018 10:31:45,10275,Standard entrance
03-01-2018 10:39:18,10216,Standard entrance
03-01-2018 10:41:39,10072,Standard entrance
03-01-2018 10:50:17,10276,Standard entrance
03-01-2018 10:50:22,10100,Standard exit
03-01-2018 10:57:52,10244,Standard entrance
03-01-2018 11:31:48,10204,Standard entrance
03-01-2018 11:47:46,10036,Standard exit
03-01-2018 11:54:32,10193,Standard entrance
03-01-2018 12:01:26,10278,Guard open
03-01-2018 12:17:48,10066,Standard entrance
03-01-2018 12:17:53,10184,Standard entrance
03-01-2018 12:32:50,10172,Standard entrance
03-01-2018 12:35:40,10285,Standard exit
03-01-2018 12:52:01,10245,Standard entrance
03-01-2018 12:55:05,10251,Standard exit
03-01-2018 12:57:49,10031,Standard entrance
03-01-2018 13:03:56,10210,Standard exit
03-01-2018 13:09:06,10057,Standard entrance
03-01-2018 13:22:40,10141,Standard exit
03-01-2018 13:22:48,10258,Standard exit
03-01-2018 13:24:09,10097,Standard exit
03-01-2018 13:25:37,10003,Standard exit
03-01-2018 13:29:43,10204,Standard exit
03-01-2018 13:30:18,10075,Standard exit
03-01-2018 13:34:31,10187,Standard entrance
03-01-2018 13:36:13,10282,Standard entrance
03-01-2018 13:42:29,10097,Standard entrance
03-01-2018 13:47:25,10064,Standard entrance
03-01-2018 14:02:16,10072,Standard exit
03-01-2018 14:06:32,10175,Standard entrance
03-01-2018 14:07:21,10182,Standard entrance
03-01-2018 14:09:08,10182,Guard open
03-01-2018 14:12:20,10240,Standard exit
03-01-2018 14:23:02,10214,Standard entrance
03-01-2018 14:25:12,10058,Standard exit
03-01-2018 14:43:21,10238,Standard exit
03-01-2018 14:47:56,10143,Standard entrance
03-01-2018 14:55:31,10139,Standard exit
03-01-2018 15:02:47,10214,Standard exit
03-01-2018 15:11:30,10224,Standard exit
03-01-2018 15:18:38,10220,Standard exit
03-01-2018 15:21:10,10152,Standard exit
03-01-2018 15:25:43,10276,Standard exit
03-01-2018 15:35:52,10264,Standard exit
03-01-2018 15:39:21,10196,Standard exit
03-01-2018 15:45:57,10252,Standard entrance
03-01-2018 15:51:38,10171,Standard exit
03-01-2018 15:52:06,10178,Standard exit
03-01-2018 15:52:20,10282,Standard exit
03-01-2018 15:53:06,10124,Standard exit
03-01-2018 15:53:15,10003,Standard entrance
03-01-2018 15:55:21,10274,Standard entrance
03-01-2018 16:00:14,10189,Standard exit
03-01-2018 16:01:28,10091,Standard entrance
03-01-2018 16:11:41,10258,Standard entrance
03-01-2018 16:13:42,10282,Standard entrance
03-01-2018 16:19:47,10184,Standard exit
03-01-2018 16:26:44,10286,Standard exit
03-01-2018 16:30:53,10173,Standard exit
03-01-2018 16:32:36,10064,Standard exit
03-01-2018 16:35:18,10018,Standard entrance
03-01-2018 16:35:29,10244,Standard exit
03-01-2018 16:41:47,10181,Standard exit
03-01-2018 16:42:48,10187,Standard exit
03-01-2018 16:45:11,10032,Standard entrance
03-01-2018 16:50:40,10282,Standard exit
03-01-2018 16:55:51,10175,Standard exit
03-01-2018 16:57:02,10148,Standard entrance
03-01-2018 17:29:43,10245,Standard exit
03-01-2018 17:57:29,10048,Standard exit
03-01-2018 18:00:54,10026,Standard exit
03-01-2018 18:06:01,10071,Standard exit
03-01-2018 18:21:20,10219,Standard exit
03-01-2018 18:33:00,10003,Standard exit
03-01-2018 18:34:58,10157,Standard entrance
03-01-2018 18:49:19,10113,Standard entrance
03-01-2018 18:51:23,10051,Standard entrance
03-01-2018 18:56:34,10193,Standard exit
03-01-2018 18:59:55,10121,Standard exit
03-01-2018 19:00:57,10216,Standard exit
03-01-2018 19:09:41,10066,Standard exit
03-01-2018 19:09:56,10029,Standard exit
03-01-2018 19:10:01,10258,Standard exit
03-01-2018 19:16:15,10182,Standard exit
03-01-2018 19:17:21,10209,Standard entrance
03-01-2018 19:54:46,10097,Standard exit
03-01-2018 20:13:28,10179,Standard exit
03-01-2018 20:19:09,10018,Standard exit
03-01-2018 20:24:13,10143,Standard exit
03-01-2018 20:49:38,10252,Standard exit
03-01-2018 21:05:02,10019,Standard exit
03-01-2018 21:08:03,10091,Standard exit
03-01-2018 21:24:25,10157,Standard exit
03-01-2018 21:29:27,10032,Standard exit
03-01-2018 21:30:17,10275,Standard exit
03-01-2018 21:35:29,10051,Standard exit
03-01-2018 21:48:25,10163,Standard exit
03-01-2018 21:55:33,10209,Standard exit
03-01-2018 21:55:45,10148,Standard exit
03-01-2018 22:19:16,10172,Standard exit
03-01-2018 23:07:10,10031,Standard exit
03-01-2018 23:11:13,10113,Standard exit
03-01-2018 23:15:19,10274,Standard exit
04-01-2018 01:00:46,10057,Parking lot cleaning
04-01-2018 06:44:36,10196,Standard entrance
04-01-2018 07:01:03,10244,Standard entrance
04-01-2018 07:04:47,10004,Standard entrance
04-01-2018 07:13:06,10193,Standard entrance
04-01-2018 07:14:20,10138,Standard entrance
04-01-2018 07:14:59,10138,Guard open
04-01-2018 07:15:00,10138,Guard open
04-01-2018 07:15:01,10138,Guard open
04-01-2018 07:15:02,10138,Guard open
04-01-2018 07:24:31,10138,Standard exit
04-01-2018 07:24:48,10073,Standard entrance
04-01-2018 07:33:24,10121,Standard entrance
04-01-2018 07:45:38,10048,Standard entrance
04-01-2018 07:47:31,10075,Standard entrance
04-01-2018 07:58:08,10203,Standard entrance
04-01-2018 08:09:26,10285,Standard entrance
04-01-2018 08:18:16,10253,Standard entrance
04-01-2018 08:18:24,10264,Standard entrance
04-01-2018 08:41:46,10258,Standard entrance
04-01-2018 08:46:30,10056,Standard entrance
04-01-2018 08:48:03,10181,Standard entrance
04-01-2018 08:48:19,10268,Standard entrance
04-01-2018 08:51:13,10064,Standard entrance
04-01-2018 08:51:43,10135,Standard entrance
04-01-2018 08:53:11,10135,Guard open
04-01-2018 08:53:12,10135,Guard open
04-01-2018 08:53:13,10135,Guard open
04-01-2018 08:53:23,10046,Standard entrance
04-01-2018 08:54:51,10137,Standard entrance
04-01-2018 09:01:25,10182,Standard entrance
04-01-2018 09:02:16,10155,Standard entrance
04-01-2018 09:07:54,10026,Standard entrance
04-01-2018 09:14:14,10077,Standard entrance
04-01-2018 09:17:46,10173,Standard entrance
04-01-2018 09:25:25,10124,Standard entrance
04-01-2018 09:36:06,10198,Standard entrance
04-01-2018 09:41:47,10218,Standard entrance
04-01-2018 09:47:10,10139,Standard entrance
04-01-2018 09:47:21,10072,Standard entrance
04-01-2018 09:49:36,10141,Standard entrance
04-01-2018 10:05:14,10251,Standard entrance
04-01-2018 10:12:51,10205,Standard entrance
04-01-2018 10:13:29,10288,Standard entrance
04-01-2018 10:17:46,10100,Standard entrance
04-01-2018 10:23:18,10069,Standard entrance
04-01-2018 10:28:29,10100,Standard exit
04-01-2018 10:32:38,10003,Standard entrance
04-01-2018 10:38:48,10075,Standard exit
04-01-2018 10:58:20,10106,Standard entrance
04-01-2018 11:04:08,10064,Standard exit
04-01-2018 11:04:21,10184,Standard entrance
04-01-2018 11:07:04,10201,Standard entrance
04-01-2018 11:11:12,10054,Standard entrance
04-01-2018 11:22:42,10054,Standard exit
04-01-2018 11:33:19,10264,Standard exit
04-01-2018 11:47:53,10285,Standard exit
04-01-2018 11:47:59,10137,Standard exit
04-01-2018 11:49:48,10137,Standard entrance
04-01-2018 11:50:11,10073,Standard exit
04-01-2018 11:50:43,10039,Unauthorized this day
04-01-2018 11:51:46,10039,Guard open
04-01-2018 11:51:47,10039,Guard open
04-01-2018 11:55:02,10220,Standard entrance
04-01-2018 11:56:46,10137,Standard exit
04-01-2018 12:00:48,10077,Standard exit
04-01-2018 12:01:45,10216,Standard entrance
04-01-2018 12:06:41,10147,Standard entrance
04-01-2018 12:17:09,10219,Standard entrance
04-01-2018 12:22:35,10004,Standard exit
04-01-2018 12:38:04,10219,Guard open
04-01-2018 12:44:47,10210,Standard entrance
04-01-2018 12:51:06,10090,Standard entrance
04-01-2018 12:53:44,10264,Standard entrance
04-01-2018 12:59:39,10142,Standard entrance
04-01-2018 13:13:13,10141,Standard exit
04-01-2018 13:14:09,10251,Standard exit
04-01-2018 13:16:07,10048,Standard exit
04-01-2018 13:20:51,10064,Standard entrance
04-01-2018 13:26:38,10201,Standard exit
04-01-2018 13:36:46,10100,Standard entrance
04-01-2018 14:02:15,10090,Standard exit
04-01-2018 14:10:41,10003,Standard entrance
04-01-2018 14:14:12,10182,Standard exit
04-01-2018 14:23:18,10138,Standard entrance
04-01-2018 14:33:03,10106,Standard exit
04-01-2018 14:50:12,10244,Standard exit
04-01-2018 14:50:18,10048,Standard entrance
04-01-2018 14:53:11,10240,Standard entrance
04-01-2018 14:53:24,10089,Standard entrance
04-01-2018 14:55:27,10062,Standard entrance
